SID,NUMBER,ISO_TIME,NATURE,LAT,LON
1884298N16085,39,1884-10-24 00:00:00,Tropical,15.8,85.3
1884305N19090,40,1884-10-31 00:00:00,Tropical,18.8,89.5
1884306S07095,41,1884-10-31 18:00:00,Not reported,-6.5,94.6
1884310N11082,42,1884-11-04 15:00:00,Tropical,11,81.7
1884314S07094,43,1884-11-09 00:00:00,Tropical,-7.1,93.5
1884316S06095,44,1884-11-11 06:00:00,Not reported,-6.4,94.7
1884318N11126,45,1884-11-12 16:00:00,Tropical,10.6,125.6
1884322N14126,46,1884-11-17 04:00:00,Not reported,13.5,126
1884325N13083,47,1884-11-20 03:00:00,Tropical,12.5,82.5
1884343N14124,48,1884-12-07 16:00:00,Not reported,14.1,124.3
1884349N08083,49,1884-12-14 00:00:00,Tropical,7.7,83.3
1885010S17062,1,1885-01-10 00:00:00,Tropical,-17,62.1
1885011S16075,2,1885-01-11 00:00:00,Tropical,-15.9,75.2
1885011S17062,3,1885-01-11 06:00:00,Not reported,-17,62.1
1885011S17063,4,1885-01-11 06:00:00,Not reported,-16.6,62.9
1885021S16075,5,1885-01-21 06:00:00,Not reported,-15.9,75.2
1885021S16076,6,1885-01-21 06:00:00,Not reported,-15.7,76.4
1885032S16077,7,1885-01-31 18:00:00,Not reported,-15.6,77.3
1885040S16075,8,1885-02-09 00:00:00,Tropical,-16,75.4
1885043S14054,9,1885-02-12 00:00:00,Tropical,-14,54
1885043S15069,10,1885-02-12 00:00:00,Tropical,-15,69.3
1885052S13055,11,1885-02-21 06:00:00,Not reported,-13.2,54.6
1885052S14070,12,1885-02-21 06:00:00,Not reported,-13.6,70.4
1885060S15069,13,1885-03-01 06:00:00,Not reported,-14.6,69.2
1885068S15069,14,1885-03-09 00:00:00,Tropical,-14.6,69.2
1885101S08087,15,1885-04-11 00:00:00,Tropical,-8,86.8
1885111S07088,16,1885-04-20 18:00:00,Not reported,-7.3,87.7
1885115N11127,17,1885-04-24 16:00:00,Not reported,10.8,127.3
1885121S13066,18,1885-04-30 18:00:00,Not reported,-13.2,66.1
1885129S14065,19,1885-05-09 00:00:00,Tropical,-14.3,65.4
1885131S13066,20,1885-05-11 06:00:00,Not reported,-13.2,66.2
1885150N13061,21,1885-05-30 00:00:00,Tropical,12.9,60.7
1885156N12071,22,1885-06-05 00:00:00,Tropical,12.2,70.7
1885167N21090,23,1885-06-16 00:00:00,Tropical,21.5,89.7
1885177N21087,24,1885-06-26 00:00:00,Tropical,21.4,87.4
1885181N19131,25,1885-06-29 16:00:00,Not reported,19.4,130.5
1885192N07135,26,1885-07-10 16:00:00,Not reported,7.3,134.9
1885195N20088,27,1885-07-14 00:00:00,Tropical,19.7,87.9
1885197N12138,28,1885-07-16 04:00:00,Tropical,12,137.8
1885204N21089,29,1885-07-23 00:00:00,Tropical,20.5,88.5
1885208N21139,30,1885-07-26 16:00:00,Tropical,21.1,138.9
1885212N12337,31,1885-07-30 12:00:00,Tropical,11.5,-23
1885227N16114,32,1885-08-15 04:00:00,Tropical,15.5,114
1885228N21088,33,1885-08-16 00:00:00,Tropical,20.8,87.8
1885230N12136,34,1885-08-17 16:00:00,Not reported,11.5,136.3
1885233N21293,35,1885-08-21 00:00:00,Tropical,21.2,-67
1885241N15141,36,1885-08-28 16:00:00,Tropical,15.2,140.8
1885241N25267,37,1885-08-29 00:00:00,Tropical,25,-93.4
1885258N21088,38,1885-09-15 00:00:00,Tropical,21.2,88
1885260N22265,39,1885-09-17 00:00:00,Tropical,22.1,-95
1885261N14307,40,1885-09-18 00:00:00,Tropical,14.3,-53.3
1885262N15093,41,1885-09-19 00:00:00,Tropical,14.6,92.8
1885267N30304,42,1885-09-23 12:00:00,Tropical,29.5,-56.3
1885269N24304,43,1885-09-26 00:00:00,Tropical,24.2,-55.7
1885281N15297,44,1885-10-07 12:00:00,Tropical,14.5,-63.5
1885283N23274,45,1885-10-10 00:00:00,Tropical,22.5,-86.5
1885290N33330,46,1885-10-16 12:00:00,Extratropical,33,-30.5
1885306N13082,47,1885-11-02 00:00:00,Tropical,13.3,82
1885310N10138,48,1885-11-05 16:00:00,Not reported,10.3,137.9
1885312N17301,49,1885-11-08 00:00:00,Tropical,17,-58.7
1885322N12082,50,1885-11-18 00:00:00,Tropical,11.7,81.6
1885344S14067,51,1885-12-10 00:00:00,Tropical,-14,67.2
1885345S12063,52,1885-12-11 00:00:00,Tropical,-11.6,63.4
1885345S13069,53,1885-12-11 06:00:00,Not reported,-12.7,68.9
1885345S13429,54,1885-12-10 18:00:00,Not reported,-13,68.6
1885355S10068,55,1885-12-21 06:00:00,Not reported,-9.9,68
1885355S10428,56,1885-12-20 18:00:00,Not reported,-10,68
1886043S11089,1,1886-02-12 00:00:00,Tropical,-11.3,88.5
1886052S11089,2,1886-02-21 06:00:00,Not reported,-10.5,89.3
1886091S12064,3,1886-03-31 18:00:00,Not reported,-12.3,64.3
1886091S12065,4,1886-04-01 06:00:00,Not reported,-12.2,64.5
1886099S13062,5,1886-04-09 00:00:00,Tropical,-12.7,62.3
1886100S12069,6,1886-04-10 00:00:00,Tropical,-12.3,68.8
1886101S11071,7,1886-04-10 18:00:00,Not reported,-11.3,70.7
1886143N11082,8,1886-05-23 00:00:00,Tropical,10.6,81.6
1886144N07062,9,1886-05-24 00:00:00,Tropical,7.2,61.9
1886158N18285,10,1886-06-07 00:00:00,Tropical,17.5,-75.5
1886160N19128,11,1886-06-08 16:00:00,Not reported,18.5,127.7
1886165N21130,12,1886-06-13 16:00:00,Not reported,21.4,129.8
1886166N20089,13,1886-06-15 00:00:00,Tropical,19.6,88.8
1886168N19275,14,1886-06-17 00:00:00,Tropical,19.4,-85
1886178N17286,15,1886-06-26 18:00:00,Tropical,17.3,-74
1886195N19277,16,1886-07-14 06:00:00,Tropical,18.9,-82.9
1886198N20088,17,1886-07-17 00:00:00,Tropical,20.3,88.3
1886217N24141,18,1886-08-04 16:00:00,Not reported,23.8,141.4
1886221N22120,19,1886-08-08 16:00:00,Tropical,22,119.7
1886224N11303,20,1886-08-12 06:00:00,Tropical,10.8,-56.6
1886224N16082,21,1886-08-12 00:00:00,Tropical,15.9,82.3
1886225N13320,22,1886-08-12 18:00:00,Tropical,13,-40
1886226N15336,23,1886-08-13 12:00:00,Tropical,15,-24
1886232N28133,24,1886-08-19 16:00:00,Not reported,27.5,132.7
1886239N17125,25,1886-08-26 16:00:00,Tropical,17.4,124.8
1886246N18135,26,1886-09-02 16:00:00,Not reported,18.4,134.8
1886249N15328,27,1886-09-05 12:00:00,Tropical,14.5,-32
1886259N16117,28,1886-09-15 16:00:00,Not reported,16.4,117.1
1886259N21295,29,1886-09-16 00:00:00,Tropical,21,-65.5
1886259N26134,30,1886-09-15 16:00:00,Not reported,25.5,133.7
1886261N20088,31,1886-09-18 00:00:00,Tropical,20.2,87.8
1886263N18298,32,1886-09-20 00:00:00,Tropical,18.2,-62.5
1886265N20133,33,1886-09-21 16:00:00,Not reported,19.5,132.8
1886270N15089,34,1886-09-27 00:00:00,Tropical,15.4,89.2
1886277N14279,35,1886-10-04 00:00:00,Tropical,14,-81
1886280N15127,36,1886-10-06 16:00:00,Not reported,15.1,127
1886280N35291,37,1886-10-06 12:00:00,Subtropical,34.5,-69
1886283N29300,38,1886-10-10 00:00:00,Tropical,29.1,-60.5
1886285N18138,39,1886-10-11 16:00:00,Not reported,17.9,138.1
1886288N11128,40,1886-10-14 16:00:00,Tropical,11.4,127.7
1886290N16087,41,1886-10-17 00:00:00,Tropical,16.3,87.3
1886294N14283,42,1886-10-21 00:00:00,Tropical,14,-77
1886306N10092,43,1886-11-02 00:00:00,Tropical,10.4,92.2
1886319N11094,44,1886-11-15 00:00:00,Tropical,10.5,93.8
1886320N10131,45,1886-11-15 16:00:00,Not reported,10.2,130.8
1886342N11085,46,1886-12-08 00:00:00,Tropical,10.8,85
1886351N09129,47,1886-12-16 16:00:00,Not reported,9.1,128.5
1887010S22056,1,1887-01-10 00:00:00,Tropical,-21.9,56.1
1887011S18040,2,1887-01-11 00:00:00,Tropical,-17.8,39.6
1887011S21057,3,1887-01-11 06:00:00,Not reported,-21.3,56.6
1887011S22056,4,1887-01-11 06:00:00,Not reported,-21.9,56.1
1887021S18040,5,1887-01-21 06:00:00,Not reported,-17.6,39.8
1887070S11091,6,1887-03-11 00:00:00,Tropical,-11,91.2
1887080S11092,7,1887-03-20 18:00:00,Not reported,-10.7,91.8
1887130N10137,8,1887-05-09 16:00:00,Not reported,10.2,136.5
1887135N29296,9,1887-05-15 00:00:00,Mixture(contradicting report from different agencies),29.3,-63.8
1887137N16283,10,1887-05-17 00:00:00,Tropical,15.8,-77.2
1887139N12116,11,1887-05-18 16:00:00,Tropical,12.3,116.3
1887141N16092,12,1887-05-21 00:00:00,Tropical,15.9,92.2
1887158N18071,13,1887-06-07 00:00:00,Tropical,17.5,71.4
1887162N18088,14,1887-06-11 00:00:00,Tropical,18.3,88.3
1887162N20274,15,1887-06-10 12:00:00,Tropical,20.5,-86
1887170N21088,16,1887-06-19 00:00:00,Tropical,21.2,87.9
1887180N10127,17,1887-06-28 16:00:00,Not reported,10,126.9
1887188N25082,18,1887-07-07 00:00:00,Tropical,24.6,82.4
1887189N11122,19,1887-07-07 16:00:00,Tropical,10.5,121.5
1887191N23088,20,1887-07-10 00:00:00,Tropical,22.8,88.1
1887193N23091,21,1887-07-12 00:00:00,Tropical,22.5,90.6
1887198N15119,22,1887-07-16 16:00:00,Not reported,14.5,119
1887198N21088,23,1887-07-17 00:00:00,Tropical,21,88
1887201N12302,24,1887-07-20 00:00:00,Tropical,12,-57.6
1887202N24131,25,1887-07-20 16:00:00,Not reported,24.2,130.8
1887206N22129,26,1887-07-24 16:00:00,Not reported,22,129
1887210N22132,27,1887-07-28 16:00:00,Not reported,22,131.7
1887211N10310,28,1887-07-30 06:00:00,Tropical,9.9,-50.1
1887215N18277,29,1887-08-02 12:00:00,Tropical,17.6,-83
1887216N18300,30,1887-08-03 12:00:00,Tropical,18.2,-60.2
1887226N14328,31,1887-08-13 18:00:00,Tropical,14,-31.8
1887226N16116,32,1887-08-13 16:00:00,Not reported,15.7,116.2
1887226N16302,33,1887-08-14 00:00:00,Tropical,16,-58.2
1887229N18087,34,1887-08-17 00:00:00,Tropical,18.2,86.8
1887232N19107,35,1887-08-19 16:00:00,Not reported,18.6,107.1
1887233N21088,36,1887-08-21 00:00:00,Tropical,21,87.7
1887235N21122,37,1887-08-23 04:00:00,Not reported,20.6,122.2
1887241N12323,38,1887-08-28 12:00:00,Tropical,12.1,-37
1887244N24279,39,1887-08-31 12:00:00,Tropical,24,-81.4
1887246N18324,40,1887-09-02 12:00:00,Tropical,17.5,-36
1887247N12116,41,1887-09-03 16:00:00,Not reported,11.5,116.4
1887252N16130,42,1887-09-08 16:00:00,Tropical,15.5,129.7
1887252N21089,43,1887-09-09 00:00:00,Tropical,21.2,89.2
1887255N13303,44,1887-09-11 12:00:00,Tropical,13.3,-57
1887255N14316,45,1887-09-12 00:00:00,Tropical,14,-44
1887258N17125,46,1887-09-14 16:00:00,Tropical,16.9,125
1887262N15125,47,1887-09-18 16:00:00,Not reported,14.5,124.5
1887264N20088,48,1887-09-21 00:00:00,Tropical,19.8,88
1887267N17123,49,1887-09-23 16:00:00,Tropical,16.5,123.4
1887271N16133,50,1887-09-27 16:00:00,Not reported,16,132.7
1887274N12119,51,1887-09-30 16:00:00,Not reported,12.1,118.5
1887274N15341,52,1887-09-30 12:00:00,Tropical,14.5,-19.5
1887274N30312,53,1887-09-30 12:00:00,Tropical,30,-48
1887276N12322,54,1887-10-02 12:00:00,Tropical,11.5,-38
1887277N19134,55,1887-10-04 04:00:00,Tropical,18.7,133.8
1887280N11085,56,1887-10-07 00:00:00,Tropical,10.7,85.1
1887280N16279,57,1887-10-06 12:00:00,Tropical,15.5,-81.5
1887280N18289,58,1887-10-07 00:00:00,Tropical,17.8,-71
1887280N20275,59,1887-10-06 12:00:00,Tropical,19.7,-84.7
1887282N19300,60,1887-10-09 06:00:00,Tropical,19.1,-59.7
1887283N28321,61,1887-10-10 06:00:00,Tropical,28.2,-39
1887285N11320,62,1887-10-12 00:00:00,Tropical,10.5,-40.5
1887289N14312,63,1887-10-15 12:00:00,Tropical,14,-48
1887303N27274,64,1887-10-29 12:00:00,Tropical,26.5,-86
1887307N12281,65,1887-11-02 12:00:00,Tropical,11.5,-79
1887314N33318,66,1887-11-09 12:00:00,Subtropical,32.5,-42
1887320N09115,67,1887-11-15 16:00:00,Tropical,9.2,114.5
1887326N12284,68,1887-11-21 12:00:00,Tropical,12,-76
1887329N09128,69,1887-11-24 16:00:00,Tropical,8.6,127.6
1887332N22293,70,1887-11-27 12:00:00,Tropical,22.1,-67
1887334N20321,71,1887-11-29 12:00:00,Subtropical,20,-39
1887339N19306,72,1887-12-04 12:00:00,Tropical,19.2,-54.1
1887341N13302,73,1887-12-07 06:00:00,Tropical,12.5,-58.5
1888001S13051,1,1888-01-01 06:00:00,Not reported,-13.4,51.3
1888001S13052,2,1888-01-01 06:00:00,Not reported,-12.9,51.9
1888001S17071,3,1888-01-01 06:00:00,Not reported,-17.3,71.4
1888001S20049,4,1888-01-01 06:00:00,Not reported,-20,48.6
1888009S13051,5,1888-01-09 00:00:00,Tropical,-13.4,51.3
1888009S17071,6,1888-01-09 00:00:00,Tropical,-17.3,71
1888009S20049,7,1888-01-09 00:00:00,Tropical,-20.4,48.5
1888032S22053,8,1888-01-31 18:00:00,Not reported,-21.5,52.6
1888032S22057,9,1888-01-31 18:00:00,Not reported,-22.3,56.7
1888040S22056,10,1888-02-09 00:00:00,Tropical,-22.4,56
1888040S23052,11,1888-02-09 00:00:00,Tropical,-22.6,51.7
1888043S16054,12,1888-02-12 00:00:00,Tropical,-16.2,53.6
1888052S15056,13,1888-02-21 06:00:00,Not reported,-14.9,55.6
1888071S19084,14,1888-03-11 00:00:00,Tropical,-18.6,83.7
1888081S18083,15,1888-03-21 06:00:00,Not reported,-18,82.9
1888081S18443,16,1888-03-20 18:00:00,Not reported,-18.2,83.1
1888132N10081,17,1888-05-11 00:00:00,Tropical,10.2,81.4
1888163N19119,18,1888-06-11 04:00:00,Not reported,18.5,118.5
1888166N20119,19,1888-06-13 16:00:00,Not reported,20,119.4
1888168N28267,20,1888-06-16 00:00:00,Tropical,27.5,-93.2
1888178N26267,21,1888-06-25 12:00:00,Tropical,25.5,-93.2
1888184N24088,22,1888-07-02 00:00:00,Tropical,23.5,88.3
1888187N26266,23,1888-07-04 12:00:00,Tropical,26,-94.4
1888190N14117,24,1888-07-07 16:00:00,Not reported,13.9,117.1
1888194N16126,25,1888-07-12 04:00:00,Not reported,15.6,126.2
1888194N19087,26,1888-07-12 00:00:00,Tropical,18.6,87.4
1888201N15116,27,1888-07-19 04:00:00,Not reported,15,116.3
1888201N21089,28,1888-07-19 00:00:00,Tropical,21.3,88.8
1888208N25083,29,1888-07-26 00:00:00,Tropical,24.8,82.6
1888211N28130,30,1888-07-29 04:00:00,Not reported,27.8,130.2
1888216N28129,31,1888-08-03 04:00:00,Tropical,28.2,128.9
1888217N21088,32,1888-08-04 00:00:00,Tropical,20.6,88.2
1888228N23088,33,1888-08-15 00:00:00,Tropical,23.4,87.6
1888228N23289,34,1888-08-14 12:00:00,Tropical,23.1,-70.6
1888229N14126,35,1888-08-15 16:00:00,Not reported,14.2,125.6
1888233N11299,36,1888-08-19 12:00:00,Tropical,11,-61.2
1888234N21089,37,1888-08-21 00:00:00,Tropical,21.4,88.5
1888236N17127,38,1888-08-22 16:00:00,Not reported,16.7,127
1888239N13328,39,1888-08-25 12:00:00,Tropical,12.9,-31.6
1888250N15330,40,1888-09-05 12:00:00,Tropical,15.2,-29.8
1888250N20087,41,1888-09-06 00:00:00,Tropical,20.3,87.1
1888250N24288,42,1888-09-06 06:00:00,Tropical,23.5,-71.7
1888253N11118,43,1888-09-09 04:00:00,Not reported,11.4,118.3
1888253N26134,44,1888-09-09 04:00:00,Not reported,25.8,134
1888257N15099,45,1888-09-13 00:00:00,Tropical,14.9,98.9
1888261N28320,46,1888-09-16 12:00:00,Tropical,28.2,-40.2
1888268N14134,47,1888-09-23 16:00:00,Not reported,14,133.6
1888268N24279,48,1888-09-23 12:00:00,Tropical,24.3,-81
1888275N15094,49,1888-10-01 00:00:00,Tropical,14.5,93.8
1888276N14297,50,1888-10-01 12:00:00,Tropical,14.2,-63
1888283N22267,51,1888-10-08 12:00:00,Tropical,21.7,-93.4
1888288N34319,52,1888-10-13 12:00:00,Extratropical,34,-41
1888301N11091,53,1888-10-27 00:00:00,Tropical,10.6,90.8
1888304N15310,54,1888-10-29 12:00:00,Tropical,14.7,-50.5
1888306N12300,55,1888-11-01 06:00:00,Tropical,12.3,-59.9
1888309N16068,56,1888-11-04 00:00:00,Tropical,15.6,68.3
1888322N23305,57,1888-11-17 00:00:00,Tropical,23.3,-55.4
1888324N17117,58,1888-11-18 16:00:00,Not reported,17.2,117
1888345S20066,59,1888-12-10 00:00:00,Tropical,-20,66.3
1888346S19066,60,1888-12-10 18:00:00,Not reported,-19.3,66.2
1888347N10087,61,1888-12-12 00:00:00,Tropical,9.7,86.5
1889136N19292,1,1889-05-15 12:00:00,Tropical,19,-68
1889153N14070,2,1889-06-02 00:00:00,Tropical,13.8,70.4
1889159N15087,3,1889-06-08 00:00:00,Tropical,14.7,86.7
1889166N20276,4,1889-06-15 00:00:00,Tropical,19.8,-83.7
1889196N22124,5,1889-07-14 16:00:00,Tropical,21.7,124.3
1889200N21089,6,1889-07-19 00:00:00,Tropical,21,88.8
1889207N20120,7,1889-07-26 04:00:00,Tropical,20,120.2
1889208N21089,8,1889-07-27 00:00:00,Tropical,21,88.8
1889212N22123,9,1889-07-30 16:00:00,Not reported,21.5,123.3
1889217N21089,10,1889-08-05 00:00:00,Tropical,21,88.5
1889220N28269,11,1889-08-08 00:00:00,Tropical,28,-91.4
1889225N20115,12,1889-08-12 16:00:00,Tropical,20.1,114.7
1889228N21089,13,1889-08-16 00:00:00,Tropical,20.5,88.5
1889231N17291,14,1889-08-19 06:00:00,Tropical,16.8,-69.2
1889234N24126,15,1889-08-21 16:00:00,Not reported,24.4,125.8
1889244N12305,16,1889-09-01 00:00:00,Tropical,11.9,-55
1889244N13338,17,1889-08-31 12:00:00,Tropical,12.5,-22.5
1889245N16317,18,1889-09-02 00:00:00,Tropical,15.9,-42.9
1889252N31307,19,1889-09-08 12:00:00,Tropical,31,-53
1889253N18134,20,1889-09-09 16:00:00,Not reported,18,133.9
1889255N15334,21,1889-09-12 06:00:00,Tropical,15.2,-25.7
1889255N16301,22,1889-09-12 00:00:00,Tropical,15.7,-59.5
1889259N20280,23,1889-09-15 12:00:00,Tropical,19.5,-80
1889260N17088,24,1889-09-17 00:00:00,Tropical,17.4,87.9
1889266N16115,25,1889-09-23 04:00:00,Tropical,15.9,114.6
1889273N11308,26,1889-09-29 12:00:00,Tropical,11.3,-52
1889278N20278,27,1889-10-05 06:00:00,Tropical,20,-82.5
1889282N09316,28,1889-10-08 12:00:00,Tropical,9,-44
1889284N18137,29,1889-10-11 04:00:00,Not reported,18.3,136.7
1889286N20118,30,1889-10-13 04:00:00,Tropical,20.3,118.4
1889288N14083,31,1889-10-15 00:00:00,Tropical,14,83
1889288N15277,32,1889-10-15 06:00:00,Tropical,15.2,-82.9
1889292N15118,33,1889-10-19 04:00:00,Not reported,15.2,117.7
1889298N21088,34,1889-10-25 00:00:00,Tropical,20.6,88.3
1889302N13130,35,1889-10-28 16:00:00,Not reported,12.8,130
1889307N12132,36,1889-11-02 16:00:00,Not reported,12.4,132
1889322N13084,37,1889-11-18 00:00:00,Tropical,13.5,84
1889344S12051,38,1889-12-10 00:00:00,Tropical,-12.4,51.2
1889345S12051,39,1889-12-11 06:00:00,Not reported,-12.3,51.5
1889351N10081,40,1889-12-17 00:00:00,Tropical,10.2,81.4
1889357N14087,41,1889-12-23 00:00:00,Tropical,14.2,86.9
1890011S08089,1,1890-01-11 00:00:00,Tropical,-7.5,88.6
1890011S12081,2,1890-01-11 00:00:00,Tropical,-11.6,80.7
1890021S07090,3,1890-01-21 06:00:00,Not reported,-7.3,90
1890021S08089,4,1890-01-21 06:00:00,Not reported,-7.5,88.6
1890021S12081,5,1890-01-21 06:00:00,Not reported,-11.6,80.7
1890021S12082,6,1890-01-21 06:00:00,Not reported,-11.7,82
1890042S17055,7,1890-02-11 00:00:00,Tropical,-17.3,54.7
1890042S17056,8,1890-02-11 06:00:00,Not reported,-16.5,56
1890046S17056,9,1890-02-14 18:00:00,Not reported,-16.7,55.7
1890122N10114,10,1890-05-01 16:00:00,Not reported,10.1,113.7
1890125N12094,11,1890-05-05 00:00:00,Tropical,11.8,93.9
1890148N21277,12,1890-05-27 12:00:00,Tropical,20.5,-83
1890153N13279,13,1890-06-01 12:00:00,Tropical,13,-81
1890153N19069,14,1890-06-02 00:00:00,Tropical,18.9,69
1890169N19086,15,1890-06-18 00:00:00,Tropical,19.3,86.4
1890173N23089,16,1890-06-22 00:00:00,Tropical,23.1,89.4
1890179N13114,17,1890-06-27 16:00:00,Not reported,13.3,113.5
1890182N20088,18,1890-07-01 00:00:00,Tropical,19.6,87.8
1890192N25084,19,1890-07-11 00:00:00,Tropical,24.7,83.5
1890194N24128,20,1890-07-12 16:00:00,Not reported,24,127.5
1890197N21126,21,1890-07-15 16:00:00,Not reported,20.5,125.7
1890202N21122,22,1890-07-20 16:00:00,Tropical,20.7,121.6
1890224N24087,23,1890-08-12 00:00:00,Tropical,23.5,86.5
1890231N14298,24,1890-08-18 12:00:00,Tropical,14,-62
1890237N13311,25,1890-08-24 12:00:00,Tropical,12.5,-48.7
1890249N17116,26,1890-09-05 16:00:00,Not reported,17.1,116.4
1890264N14117,27,1890-09-20 16:00:00,Tropical,13.5,116.5
1890264N24131,28,1890-09-20 16:00:00,Not reported,23.7,131
1890266N12338,29,1890-09-22 12:00:00,Tropical,12,-22.5
1890266N18085,30,1890-09-23 00:00:00,Tropical,18.2,85.3
1890271N15125,31,1890-09-27 16:00:00,Not reported,14.6,125.2
1890275N21133,32,1890-10-02 04:00:00,Not reported,21.2,132.6
1890282N21286,33,1890-10-08 18:00:00,Tropical,20.5,-74
1890283N14085,34,1890-10-10 00:00:00,Tropical,13.7,84.6
1890284N14128,35,1890-10-10 16:00:00,Not reported,14.4,127.7
1890289N12124,36,1890-10-16 04:00:00,Not reported,12.2,124
1890294N17090,37,1890-10-21 00:00:00,Tropical,17,90.3
1890303N12280,38,1890-10-30 00:00:00,Tropical,11.5,-80
1890303N16148,39,1890-10-29 16:00:00,Not reported,16.1,147.9
1890314N09133,40,1890-11-09 16:00:00,Not reported,9.3,133.2
1891032S12075,1,1891-02-01 06:00:00,Not reported,-11.5,75
1891032S12435,2,1891-01-31 18:00:00,Not reported,-11.6,74.8
1891039S13068,3,1891-02-07 18:00:00,Not reported,-13.2,68.2
1891040S12073,4,1891-02-09 00:00:00,Tropical,-11.9,72.9
1891042S13068,5,1891-02-11 06:00:00,Not reported,-13,68.3
1891069S11064,6,1891-03-10 00:00:00,Tropical,-11,64.2
1891070S11065,7,1891-03-11 06:00:00,Not reported,-10.6,65
1891070S11425,8,1891-03-10 18:00:00,Not reported,-10.7,64.9
1891130N06113,9,1891-05-09 16:00:00,Not reported,6,112.9
1891140N10082,10,1891-05-20 00:00:00,Tropical,10.2,81.9
1891180N11114,11,1891-06-28 16:00:00,Not reported,11,114.3
1891184N22267,12,1891-07-03 06:00:00,Tropical,21.7,-93
1891197N14129,13,1891-07-15 16:00:00,Tropical,14,129
1891205N22088,14,1891-07-24 00:00:00,Tropical,21.9,88.1
1891207N15123,15,1891-07-25 16:00:00,Not reported,14.7,122.9
1891213N20091,16,1891-08-01 00:00:00,Tropical,20.3,91.2
1891213N22128,17,1891-07-31 16:00:00,Not reported,22.2,128.2
1891224N23089,18,1891-08-12 00:00:00,Tropical,22.9,89.3
1891229N11313,19,1891-08-16 12:00:00,Tropical,10.5,-46.7
1891229N13336,20,1891-08-17 06:00:00,Tropical,12.7,-24.4
1891233N19126,21,1891-08-20 16:00:00,Not reported,19.3,126.3
1891236N19122,22,1891-08-23 16:00:00,Tropical,19.3,122.3
1891240N13339,23,1891-08-27 12:00:00,Tropical,12.5,-20.6
1891243N19132,24,1891-08-30 16:00:00,Not reported,19.3,131.5
1891245N20089,25,1891-09-02 00:00:00,Tropical,19.9,88.5
1891248N12130,26,1891-09-04 16:00:00,Not reported,11.5,130.1
1891248N21089,27,1891-09-05 00:00:00,Tropical,20.9,88.9
1891254N19119,28,1891-09-10 16:00:00,Not reported,18.7,118.7
1891254N20088,29,1891-09-11 00:00:00,Tropical,20.4,88.4
1891255N20135,30,1891-09-11 16:00:00,Not reported,20.1,134.7
1891259N12121,31,1891-09-15 16:00:00,Not reported,11.9,120.9
1891259N20312,32,1891-09-15 18:00:00,Tropical,20.5,-48
1891260N19087,33,1891-09-17 00:00:00,Tropical,18.6,86.7
1891263N16097,34,1891-09-20 00:00:00,Tropical,15.6,97.1
1891263N17124,35,1891-09-20 04:00:00,Not reported,17.1,123.8
1891263N22275,36,1891-09-19 12:00:00,Tropical,21.5,-85.5
1891266N14330,37,1891-09-23 00:00:00,Tropical,14.2,-30.5
1891269N43317,38,1891-09-26 03:00:00,Tropical,42.6,-43
1891272N26131,39,1891-09-28 16:00:00,Not reported,25.9,131.2
1891278N12277,40,1891-10-05 00:00:00,Tropical,12,-83.5
1891278N15281,41,1891-10-04 12:00:00,Tropical,15,-79
1891278N17148,42,1891-10-04 16:00:00,Not reported,17.4,148.3
1891281N18275,43,1891-10-07 12:00:00,Tropical,18,-85
1891286N13299,44,1891-10-12 12:00:00,Tropical,12.5,-61.3
1891288N17277,45,1891-10-14 12:00:00,Tropical,16.5,-83
1891293N10084,46,1891-10-20 00:00:00,Tropical,10.2,84.1
1891297N14279,47,1891-10-23 12:00:00,Tropical,14,-81.5
1891305N08074,48,1891-11-01 00:00:00,Tropical,7.8,74.4
1891305N10097,49,1891-11-01 00:00:00,Tropical,10.2,97.1
1891305N12280,50,1891-11-01 00:00:00,Tropical,11.6,-80.4
1891305S18069,51,1891-10-31 18:00:00,Not reported,-17.5,69.4
1891307N24286,52,1891-11-03 00:00:00,Tropical,24.1,-73.8
1891309N27301,53,1891-11-04 12:00:00,Tropical,26.5,-59
1891313S18069,54,1891-11-09 00:00:00,Tropical,-17.9,68.5
1891316N12127,55,1891-11-11 16:00:00,Not reported,12.2,127.3
1891320N13126,56,1891-11-15 16:00:00,Not reported,13.1,125.5
1891321N13142,57,1891-11-16 16:00:00,Not reported,12.6,141.9
1891324N12088,58,1891-11-20 00:00:00,Tropical,11.5,87.7
1891325S17069,59,1891-11-21 06:00:00,Not reported,-17.4,69.4
1892010S06088,1,1892-01-10 00:00:00,Tropical,-5.8,88.2
1892010S11056,2,1892-01-10 00:00:00,Tropical,-10.9,56.2
1892011S05088,3,1892-01-11 06:00:00,Not reported,-5,88.1
1892011S11057,4,1892-01-11 06:00:00,Not reported,-10.9,56.6
1892032S12062,5,1892-02-01 06:00:00,Not reported,-12.4,62.1
1892039S13062,6,1892-02-07 18:00:00,Not reported,-12.5,62
1892041S14059,7,1892-02-10 00:00:00,Tropical,-14.1,59.2
1892042S25053,8,1892-02-11 06:00:00,Not reported,-24.9,53.2
1892042S26052,9,1892-02-11 00:00:00,Tropical,-26,52
1892043S15060,10,1892-02-12 00:00:00,Tropical,-15.3,59.5
1892046S25053,11,1892-02-14 18:00:00,Not reported,-25.1,53
1892052S15062,12,1892-02-21 06:00:00,Not reported,-14.8,61.9
1892102S11062,13,1892-04-11 00:00:00,Tropical,-11,61.8
