SID,NUMBER,ISO_TIME,NATURE,LAT,LON
1855270N33309,14,1855-09-26 12:00:00,Tropical,33.4,-51
1855308N24311,15,1855-11-03 12:00:00,Tropical,24,-48.8
1856032S17058,1,1856-02-01 06:00:00,Not reported,-16.6,58.4
1856092S16060,2,1856-04-01 06:00:00,Not reported,-15.5,59.8
1856092S16420,3,1856-03-31 18:00:00,Not reported,-15.8,59.6
1856221N25277,4,1856-08-07 12:00:00,Tropical,25.2,-83.5
1856224N14330,5,1856-08-11 00:00:00,Tropical,14,-30
1856226N11308,6,1856-08-12 18:00:00,Tropical,10.8,-52.5
1856232N33285,7,1856-08-19 00:00:00,Tropical,32.5,-75.5
1856235N13302,8,1856-08-21 12:00:00,Tropical,13.4,-58
1856235N23278,9,1856-08-21 12:00:00,Tropical,23,-82.5
1856246N35284,10,1856-09-02 00:00:00,Tropical,34.8,-76.5
1856254N09333,11,1856-09-10 06:00:00,Tropical,9,-27
1856266N40308,12,1856-09-22 06:00:00,Tropical,40,-52.2
1856272N11336,13,1856-09-27 12:00:00,Tropical,11.4,-23.6
1856287N31319,14,1856-10-13 00:00:00,Tropical,30.8,-40.6
1857021S17059,1,1857-01-21 06:00:00,Not reported,-16.6,58.9
1857032S15066,2,1857-02-01 06:00:00,Not reported,-15,66.1
1857039S15066,3,1857-02-07 18:00:00,Not reported,-15,66
1857174N26274,4,1857-06-22 12:00:00,Tropical,26.2,-86.5
1857181N34286,5,1857-06-30 00:00:00,Tropical,34,-74.5
1857185N25277,6,1857-07-03 12:00:00,Tropical,24.6,-83.1
1857229N16276,7,1857-08-16 12:00:00,Tropical,15.8,-84
1857230N10315,8,1857-08-17 12:00:00,Tropical,9.6,-45.5
1857249N27286,9,1857-09-05 12:00:00,Tropical,26.8,-74.2
1857251N13300,10,1857-09-07 12:00:00,Tropical,12.8,-60
1857261N16301,11,1857-09-17 12:00:00,Tropical,16,-59.5
1857265N33287,12,1857-09-22 00:00:00,Tropical,32.5,-73.5
